Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,cek_total,cek_income,total_fix,cek_total_fix
860-79-0874,C,San Francisco,Member,Female,Fashion accessories,99.3,10,49.65,0.9999999999999999,2014-09-27,14:53:00,Credit Card,993.0,4.761904762,49.65,6.6,2014,9,27,False,True,1042.65,False
687-47-8271,A,San Francisco,Normal,Male,Fashion accessories,98.98,10,49.49,0.9967440961305615,2012-08-08,16:20:00,Credit Card,989.8,4.761904762,49.49,8.7,2012,8,8,False,True,1039.2900000000002,False
283-26-5248,C,Broomfield,Member,Female,Food and beverages,98.52,10,49.26,0.9920637343182442,2013-07-09,20:23:00,Ewallet,985.2,4.761904762,49.26,4.5,2013,7,9,False,True,1034.46,False
751-41-9720,C,Los Angeles,Normal,Male,Home and lifestyle,97.5,10,48.75,0.9816855407344097,2012-12-08,16:18:00,Ewallet,975.0,4.761904762,48.75,8.0,2012,12,8,False,True,1023.75,False
303-96-2227,B,Moreno Valley,Normal,Female,Home and lifestyle,97.38,10,48.69,0.9804645767833704,2011-02-23,17:16:00,Ewallet,973.8,4.761904762,48.69,4.4,2011,2,23,False,True,1022.49,False
744-16-7898,B,Seattle,Normal,Female,Home and lifestyle,97.37,10,48.685,0.9803628297874504,2014-01-31,13:48:00,Credit Card,973.7,4.761904762,48.685,4.9,2014,1,31,False,True,1022.3850000000001,False
271-88-8734,C,Seattle,Member,Female,Fashion accessories,97.21,10,48.605,0.9787348778527313,2013-08-24,13:00:00,Credit Card,972.1,4.761904762,48.605,8.7,2013,8,24,False,True,1020.7049999999999,False
234-65-2137,C,Redondo Beach,Normal,Male,Home and lifestyle,95.58,10,47.79,0.9621501175177802,2011-04-12,13:32:00,Cash,955.8,4.761904762,47.79,4.8,2011,4,12,False,True,1003.59,False
554-42-2417,C,San Francisco,Normal,Female,Sports and travel,95.44,10,47.72,0.960725659574901,2014-06-16,13:45:00,Cash,954.4,4.761904762,47.72,5.2,2014,6,16,False,True,1002.12,False
325-77-6186,A,Denver,Member,Female,Home and lifestyle,90.65,10,45.325,0.9119888485292471,2014-12-02,10:53:00,Ewallet,906.5,4.761904762,45.325,7.3,2014,12,2,False,True,951.825,False
280-17-4359,C,Phoenix,Member,Male,Health and beauty,90.5,10,45.25,0.9104626435904478,2014-07-19,13:48:00,Cash,905.0,4.761904762,45.25,8.1,2014,7,19,False,True,950.25,False
219-22-9386,B,San Diego,Member,Male,Sports and travel,99.96,9,44.982,0.9050090046091388,2012-11-08,17:26:00,Credit Card,899.64,4.761904762,44.982,4.2,2012,11,8,False,True,944.6220000000001,False
702-83-5291,C,Seattle,Member,Male,Fashion accessories,99.82,9,44.919,0.9037269924605474,2011-11-02,10:43:00,Cash,898.38,4.761904762,44.919,6.6,2011,11,2,False,True,943.2989999999999,False
731-81-9469,C,Pomona,Member,Female,Sports and travel,89.8,10,44.9,0.9033403538760517,2014-06-25,13:00:00,Credit Card,898.0,4.761904762,44.9,5.4,2014,6,25,False,True,942.9000000000001,False
817-69-8206,B,San Francisco,Normal,Female,Electronic accessories,99.73,9,44.8785,0.9029028417935959,2014-09-05,19:42:00,Credit Card,897.57,4.761904762,44.8785,6.5,2014,9,5,False,True,942.4485000000001,False
393-65-2792,C,Los Angeles,Normal,Male,Food and beverages,89.48,10,44.74,0.9000844500066134,2012-11-24,12:46:00,Credit Card,894.8,4.761904762,44.74,9.6,2012,11,24,False,True,939.5400000000001,False
751-69-0068,C,Los Angeles,Normal,Male,Sports and travel,99.24,9,44.658,0.8984157992735263,2014-10-08,19:09:00,Ewallet,893.16,4.761904762,44.658,9.0,2014,10,8,False,True,937.818,False
866-99-7614,C,Sunnyvale,Normal,Male,Food and beverages,89.2,10,44.6,0.897235534120855,2014-12-17,15:42:00,Credit Card,892.0,4.761904762,44.6,4.4,2014,12,17,False,True,936.6,False
277-35-5865,C,Los Angeles,Member,Female,Food and beverages,98.97,9,44.5365,0.8959433472726716,2011-07-25,11:23:00,Cash,890.73,4.761904762,44.5365,6.7,2011,7,25,False,True,935.2665000000001,False
384-59-6655,A,Tucson,Member,Female,Food and beverages,98.66,9,44.397,0.8931046060865052,2013-07-15,15:07:00,Cash,887.94,4.761904762,44.397,8.4,2013,7,15,False,True,932.337,False
704-48-3927,A,San Francisco,Member,Male,Electronic accessories,88.67,10,44.335,0.8918429433370978,2014-08-23,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3,2014,8,23,False,True,931.0350000000001,False
827-77-7633,A,Pueblo,Normal,Male,Sports and travel,98.09,9,44.1405,0.887884985195812,2012-05-25,19:41:00,Cash,882.81,4.761904762,44.1405,9.3,2012,5,25,False,True,926.9505000000001,False
766-85-7061,B,San Francisco,Normal,Male,Health and beauty,87.87,10,43.935,0.8837031836635022,2011-09-08,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1,2011,9,8,False,True,922.6350000000001,False
139-32-4183,A,Chandler,Member,Female,Sports and travel,97.48,9,43.866,0.882299075119807,2014-04-26,14:19:00,Ewallet,877.32,4.761904762,43.866,7.4,2014,4,26,False,True,921.186,False
743-04-1105,B,San Francisco,Member,Male,Health and beauty,97.22,9,43.749,0.8799181954152803,2011-09-08,14:43:00,Ewallet,874.98,4.761904762,43.749,6.0,2011,9,8,False,True,918.729,False
641-51-2661,C,Los Angeles,Member,Female,Food and beverages,87.1,10,43.55,0.8758686649776664,2012-08-25,14:45:00,Credit Card,871.0,4.761904762,43.55,9.9,2012,8,25,False,True,914.5500000000001,False
746-04-1077,B,San Diego,Member,Female,Food and beverages,84.63,10,42.315,0.85073715698544,2012-04-26,11:36:00,Credit Card,846.3,4.761904762,42.315,9.0,2012,4,26,False,True,888.615,False
450-42-3339,C,Los Angeles,Normal,Male,Health and beauty,84.61,10,42.305,0.8505336629936,2012-11-24,18:58:00,Credit Card,846.1,4.761904762,42.305,8.8,2012,11,24,False,True,888.4050000000001,False
805-86-0265,A,Sunnyvale,Normal,Male,Home and lifestyle,93.96,9,42.282,0.8500656268123683,2014-12-17,11:32:00,Cash,845.64,4.761904762,42.282,9.8,2014,12,17,False,True,887.922,False
677-11-0152,C,Los Angeles,Normal,Female,Food and beverages,93.26,9,41.967,0.8436555660694117,2012-04-13,18:08:00,Cash,839.34,4.761904762,41.967,8.8,2012,4,13,False,True,881.307,False
852-62-7105,B,Redmond,Normal,Female,Fashion accessories,83.25,10,41.625,0.8366960715484875,2013-12-23,11:25:00,Credit Card,832.5,4.761904762,41.625,4.4,2013,12,23,False,True,874.125,False
574-22-5561,C,Los Angeles,Member,Female,Fashion accessories,82.63,10,41.315,0.8303877578014508,2013-11-25,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9,2013,11,25,False,True,867.615,False
628-90-8624,B,San Jose,Member,Male,Health and beauty,82.58,10,41.29,0.8298790228218511,2013-12-25,14:41:00,Cash,825.8,4.761904762,41.29,5.0,2013,12,25,False,True,867.09,False
267-62-7380,C,Seattle,Member,Male,Electronic accessories,82.34,10,41.17,0.8274370949197725,2011-09-17,19:12:00,Ewallet,823.4,4.761904762,41.17,4.3,2011,9,17,False,True,864.5700000000002,False
861-77-0145,C,Seattle,Member,Male,Electronic accessories,81.97,10,40.985,0.8236724560707344,2014-07-04,14:30:00,Cash,819.7,4.761904762,40.985,9.2,2014,7,4,False,True,860.6850000000001,False
607-65-2441,C,Los Angeles,Member,Male,Health and beauty,81.95,10,40.975,0.8234689620788945,2013-12-07,12:39:00,Credit Card,819.5,4.761904762,40.975,6.0,2013,12,7,False,True,860.475,False
678-79-0726,C,Los Angeles,Member,Female,Sports and travel,90.63,9,40.7835,0.8195720521351606,2012-12-19,15:28:00,Cash,815.67,4.761904762,40.7835,5.1,2012,12,19,False,True,856.4535,False
549-84-7482,B,Los Angeles,Normal,Female,Sports and travel,90.28,9,40.626,0.8163670217636823,2014-04-18,11:15:00,Ewallet,812.52,4.761904762,40.626,7.2,2014,4,18,False,True,853.1460000000001,False
698-98-5964,A,San Francisco,Normal,Female,Food and beverages,81.21,10,40.605,0.8159396843808185,2012-06-20,13:01:00,Credit Card,812.1,4.761904762,40.605,6.3,2012,6,20,False,True,852.7049999999999,False
138-17-5109,A,Los Angeles,Member,Female,Home and lifestyle,89.21,9,40.1445,0.8065687860565915,2014-12-30,15:42:00,Credit Card,802.89,4.761904762,40.1445,6.5,2014,12,30,False,True,843.0345,False
638-60-7125,A,Seattle,Normal,Female,Electronic accessories,99.56,8,39.824,0.8000468036181231,2014-11-14,17:03:00,Credit Card,796.48,4.761904762,39.824,5.2,2014,11,14,False,True,836.3040000000001,False
640-48-5028,B,San Diego,Member,Female,Home and lifestyle,88.39,9,39.7755,0.7990598577576995,2014-02-03,12:40:00,Cash,795.51,4.761904762,39.7755,6.3,2014,2,3,False,True,835.2855000000001,False
431-66-2305,B,Seattle,Normal,Female,Electronic accessories,88.25,9,39.7125,0.7977778456091082,2014-03-21,20:51:00,Credit Card,794.25,4.761904762,39.7125,7.6,2014,3,21,False,True,833.9625000000001,False
533-33-5337,B,Phoenix,Normal,Male,Electronic accessories,79.39,10,39.695,0.7974217311233885,2011-08-09,20:24:00,Cash,793.9,4.761904762,39.695,6.2,2011,8,9,False,True,833.595,False
699-88-1972,B,San Francisco,Normal,Male,Health and beauty,99.16,8,39.664,0.7967908997486848,2014-05-23,17:47:00,Credit Card,793.28,4.761904762,39.664,4.2,2014,5,23,False,True,832.944,False
457-94-0464,B,Pomona,Member,Male,Electronic accessories,87.87,9,39.5415,0.7942980983486461,2011-10-05,20:32:00,Ewallet,790.83,4.761904762,39.5415,5.6,2011,10,5,False,True,830.3715000000001,False
286-43-6208,C,Ontario,Normal,Female,Food and beverages,87.8,9,39.51,0.7936570922743506,2014-11-21,19:08:00,Cash,790.2,4.761904762,39.51,9.2,2014,11,21,False,True,829.7099999999999,False
228-96-1411,C,North Las Vegas,Member,Female,Food and beverages,98.7,8,39.48,0.7930466102988308,2011-06-09,20:39:00,Cash,789.6,4.761904762,39.48,7.6,2011,6,9,False,True,829.08,False
735-32-9839,C,Redmond,Member,Male,Fashion accessories,98.7,8,39.48,0.7930466102988308,2014-09-02,10:36:00,Ewallet,789.6,4.761904762,39.48,8.5,2014,9,2,False,True,829.08,False
232-11-3025,A,Peoria,Normal,Male,Sports and travel,78.77,10,39.385,0.7911134173763519,2012-08-17,10:04:00,Cash,787.7,4.761904762,39.385,6.4,2012,8,17,False,True,827.0849999999999,False
829-49-1914,C,Los Angeles,Member,Female,Food and beverages,78.31,10,39.155,0.7864330555640343,2013-11-25,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6,2013,11,25,False,True,822.2550000000001,False
227-07-4446,C,San Francisco,Member,Female,Electronic accessories,78.13,10,39.065,0.7846016096374754,2012-11-20,20:51:00,Cash,781.3,4.761904762,39.065,4.4,2012,11,20,False,True,820.365,False
652-43-6591,A,San Francisco,Normal,Female,Fashion accessories,97.29,8,38.916,0.781569549159061,2013-06-24,13:18:00,Credit Card,778.32,4.761904762,38.916,6.2,2013,6,24,False,True,817.2360000000001,False
373-09-4567,C,Los Angeles,Normal,Male,Food and beverages,77.56,10,38.78,0.7788020308700384,2014-11-28,20:35:00,Ewallet,775.6,4.761904762,38.78,6.9,2014,11,28,False,True,814.3800000000001,False
842-40-8179,B,Los Angeles,Member,Female,Food and beverages,77.2,10,38.6,0.7751391390169204,2012-08-31,10:38:00,Credit Card,772.0,4.761904762,38.6,5.6,2012,8,31,False,True,810.6,False
880-46-5796,A,San Francisco,Member,Male,Sports and travel,76.92,10,38.46,0.7722902231311619,2014-07-29,19:53:00,Ewallet,769.2,4.761904762,38.46,5.6,2014,7,29,False,True,807.6600000000001,False
602-16-6955,B,Seattle,Normal,Female,Sports and travel,76.6,10,38.3,0.7690343192617236,2013-06-03,18:10:00,Ewallet,766.0,4.761904762,38.3,6.0,2013,6,3,False,True,804.3000000000001,False
593-14-4239,B,Salem,Normal,Female,Home and lifestyle,95.46,8,38.184,0.7666737889563809,2012-11-01,19:40:00,Ewallet,763.68,4.761904762,38.184,4.7,2012,11,1,False,True,801.864,False
549-03-9315,B,Draper,Normal,Male,Fashion accessories,94.87,8,37.948,0.7618713307489595,2014-09-08,12:58:00,Ewallet,758.96,4.761904762,37.948,8.7,2014,9,8,False,True,796.908,False
418-02-5978,B,Phoenix,Normal,Female,Health and beauty,84.09,9,37.8405,0.7596837703366807,2014-09-20,10:54:00,Cash,756.81,4.761904762,37.8405,8.0,2014,9,20,False,True,794.6505000000001,False
305-14-0245,B,Seattle,Member,Female,Home and lifestyle,94.49,8,37.796,0.7587782220729932,2012-12-01,19:00:00,Ewallet,755.92,4.761904762,37.796,7.5,2012,12,1,False,True,793.716,False
605-72-4132,C,Pasadena,Normal,Female,Food and beverages,94.47,8,37.788,0.7586154268795213,2013-12-13,15:12:00,Cash,755.76,4.761904762,37.788,9.1,2013,12,13,False,True,793.548,False
376-02-8238,B,Los Angeles,Normal,Male,Home and lifestyle,93.87,8,37.548,0.7537315710753639,2012-01-13,18:42:00,Credit Card,750.96,4.761904762,37.548,8.3,2012,1,13,False,True,788.508,False
746-94-0204,A,San Francisco,Normal,Male,Fashion accessories,83.24,9,37.458,0.7519001251488049,2014-04-23,11:56:00,Credit Card,749.16,4.761904762,37.458,7.4,2014,4,23,False,True,786.618,False
571-94-0759,B,Seattle,Member,Female,Food and beverages,74.6,10,37.3,0.7486849200777346,2011-11-24,20:55:00,Cash,746.0,4.761904762,37.3,9.5,2011,11,24,False,True,783.3000000000001,False
453-33-6436,A,San Francisco,Normal,Female,Home and lifestyle,93.12,8,37.248,0.7476267513201671,2014-12-14,10:09:00,Cash,744.96,4.761904762,37.248,6.8,2014,12,14,False,True,782.2080000000001,False
243-55-8457,A,Burbank,Normal,Female,Food and beverages,74.44,10,37.22,0.7470569681430155,2011-03-18,11:40:00,Ewallet,744.4,4.761904762,37.22,5.1,2011,3,18,False,True,781.62,False
416-17-9926,A,Seattle,Member,Female,Electronic accessories,74.22,10,37.11,0.7448185342327767,2014-03-17,14:42:00,Credit Card,742.2,4.761904762,37.11,4.3,2014,3,17,False,True,779.3100000000001,False
315-22-5665,C,San Francisco,Normal,Female,Home and lifestyle,73.56,10,36.78,0.7381032325020602,2011-01-14,11:38:00,Ewallet,735.6,4.761904762,36.78,8.0,2011,1,14,False,True,772.3800000000001,False
884-80-6021,A,Los Angeles,Member,Female,Electronic accessories,73.47,10,36.735,0.7371875095387806,2014-10-16,13:14:00,Ewallet,734.7,4.761904762,36.735,9.5,2014,10,16,False,True,771.4350000000001,False
197-77-7132,B,Phoenix,Member,Male,Electronic accessories,91.56,8,36.624,0.734928726229358,2013-04-23,18:22:00,Ewallet,732.48,4.761904762,36.624,6.0,2013,4,23,False,True,769.104,False
234-03-4040,B,Los Angeles,Member,Female,Food and beverages,73.05,10,36.525,0.7329141357101431,2013-05-06,12:25:00,Credit Card,730.5,4.761904762,36.525,8.7,2013,5,6,False,True,767.025,False
742-04-5161,A,Seattle,Member,Male,Home and lifestyle,72.78,10,36.39,0.7301669668203046,2014-10-02,17:24:00,Cash,727.8,4.761904762,36.39,7.3,2014,10,2,False,True,764.1899999999999,False
237-01-6122,C,Fort Collins,Member,Female,Home and lifestyle,80.79,9,36.3555,0.7294649125484569,2014-09-24,20:31:00,Credit Card,727.11,4.761904762,36.3555,9.5,2014,9,24,False,True,763.4655,False
361-59-0574,B,Vancouver,Member,Male,Sports and travel,90.53,8,36.212,0.7265447737655545,2013-12-12,14:48:00,Credit Card,724.24,4.761904762,36.212,6.5,2013,12,12,False,True,760.452,False
729-06-2010,B,Bakersfield,Member,Male,Health and beauty,80.47,9,36.2115,0.7265345990659625,2014-09-30,11:18:00,Cash,724.23,4.761904762,36.2115,9.2,2014,9,30,False,True,760.4415,False
817-48-8732,A,Los Angeles,Member,Female,Home and lifestyle,72.35,10,36.175,0.7257918459957469,2013-08-09,15:55:00,Cash,723.5,4.761904762,36.175,5.4,2013,8,9,False,True,759.6750000000001,False
